"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"2525";"Diospyros korthalsiana";610;NA
"2526";"Diospyros kurzii";800;NA
"2527";"Diospyros laevis";460;NA
"2528";"Diospyros lancifolia";660;NA
"2529";"Diospyros latisepala";670;NA
"2530";"Diospyros lissocarpoides";482;NA
"2531";"Diospyros lolin";820;NA
"2532";"Diospyros longibracteata";510;NA
"2533";"Diospyros lucida";830;NA
"2534";"Diospyros maclurei";704;NA
"2535";"Diospyros macrophylla";480;NA
"2536";"Diospyros maingayi";545;NA
"2537";"Diospyros malabarica";715;NA
"2538";"Diospyros malaccensis";830;NA
"2539";"Diospyros malam";605;NA
"2540";"Diospyros mannii";813;NA
"2541";"Diospyros maritima";560;NA
"2542";"Diospyros marmorata";850;NA
"2543";"Diospyros melanoxylon";680;NA
"2544";"Diospyros mespiliformis";701,666666666667;NA
"2545";"Diospyros minahasae";510;NA
"2546";"Diospyros mindanaensis";650;NA
"2547";"Diospyros montana";719;NA
"2548";"Diospyros mun";947;NA
"2549";"Diospyros nemorosa";600;NA
"2550";"Diospyros oblonga";750;NA
"2551";"Diospyros palembanica";690;NA
"2552";"Diospyros papuana";683;NA
"2553";"Diospyros paralea";470;NA
"2554";"Diospyros paraoesi";680;NA
"2555";"Diospyros penangiana";700;NA
"2556";"Diospyros pendula";685;NA
"2557";"Diospyros pentamera";618;NA
"2558";"Diospyros perakensis";710;NA
"2559";"Diospyros peregrina";720;NA
"2560";"Diospyros perfida";720;NA
"2561";"Diospyros philippinensis";825;NA
"2562";"Diospyros pilosanthera";645;NA
"2563";"Diospyros poeppigiana";600;NA
"2564";"Diospyros polita";590;NA
"2565";"Diospyros polyalthioides";700;NA
"2566";"Diospyros poncei";810;NA
"2567";"Diospyros puncticulosa";660;NA
"2568";"Diospyros pyrrhocarpa";640;NA
"2569";"Diospyros quiloensis";814;NA
"2570";"Diospyros retrofracta";740;NA
"2571";"Diospyros rigida";716,666666666667;NA
"2572";"Diospyros rubra";630;NA
"2573";"Diospyros rumphii";830;NA
"2574";"Diospyros sanza-minika";718,8;NA
"2575";"Diospyros scabiosa";450;NA
"2576";"Diospyros senensis";676;NA
"2577";"Diospyros siamang";520;NA
"2578";"Diospyros simaloerensis";720;NA
"2579";"Diospyros subrhomboidea";820;NA
"2580";"Diospyros sumatrana";605;NA
"2581";"Diospyros sundaica";640;NA
"2582";"Diospyros tetrasperma";810;NA
"2583";"Diospyros tomentosa";706;NA
"2584";"Diospyros toposia";700;NA
"2585";"Diospyros toposioides";710;NA
"2586";"Diospyros transitoria";840;NA
"2587";"Diospyros tristis";670;NA
"2588";"Diospyros truncata";550;NA
"2589";"Diospyros tuberculata";450;NA
"2590";"Diospyros ulo";760;NA
"2591";"Diospyros venenosa";530;NA
"2592";"Diospyros virginiana";670;NA
"2593";"Diospyros wallichii";600;NA
"2594";"Diospyros yeobi";760;NA
"2595";"Diphysa occidentalis";1180;NA
"2596";"Diphysa thurberi";980;NA
"2597";"Diploglottis australis";651,666666666667;NA
"2598";"Diploglottis bracteata";857;NA
"2599";"Diplokeleba floribunda";852;NA
"2600";"Diploknema butyracea";630;NA
"2601";"Diploknema oligomera";900;NA
"2602";"Diploon cuspidatum";850;NA
"2603";"Diplorhynchus condylocarpon";667;NA
"2604";"Diplospora malaccense";700;NA
"2605";"Diplotropis martiusii";633,333333333333;NA
"2606";"Diplotropis purpurea";761,846153846154;NA
"2607";"Dipterocarpus acutangulus";635;NA
"2608";"Dipterocarpus alatus";599;NA
"2609";"Dipterocarpus applanatus";640;NA
"2610";"Dipterocarpus apterus";620;NA
"2611";"Dipterocarpus baudii";640;NA
"2612";"Dipterocarpus borneensis";640;NA
"2613";"Dipterocarpus bourdilloni";580;NA
"2614";"Dipterocarpus caudatus";690;NA
"2615";"Dipterocarpus chartaceus";640;NA
"2616";"Dipterocarpus concavus";740;NA
"2617";"Dipterocarpus confertus";640;NA
"2618";"Dipterocarpus conformis";765;NA
"2619";"Dipterocarpus coriaceus";585;NA
"2620";"Dipterocarpus cornutus";676,666666666667;NA
"2621";"Dipterocarpus costatus";755;NA
"2622";"Dipterocarpus costulatus";740;NA
"2623";"Dipterocarpus crinitus";745;NA
"2624";"Dipterocarpus dyeri";640;NA
"2625";"Dipterocarpus elongatus";550;NA
"2626";"Dipterocarpus eurhynchus";630;NA
"2627";"Dipterocarpus fagineus";780;NA
"2628";"Dipterocarpus geniculatus";590;NA
"2629";"Dipterocarpus globosus";700;NA
"2630";"Dipterocarpus gracilis";603,333333333333;NA
"2631";"Dipterocarpus grandiflorus";670;NA
"2632";"Dipterocarpus hasseltii";555;NA
"2633";"Dipterocarpus humeratus";630;NA
"2634";"Dipterocarpus indicus";620;NA
"2635";"Dipterocarpus intricatus";640;NA
"2636";"Dipterocarpus kerrii";610;NA
"2637";"Dipterocarpus kunstleri";600;NA
"2638";"Dipterocarpus lamellatus";680;NA
"2639";"Dipterocarpus lowii";715;NA
"2640";"Dipterocarpus macrocarpus";600;NA
"2641";"Dipterocarpus mundus";720;NA
"2642";"Dipterocarpus oblongifolius";615;NA
"2643";"Dipterocarpus obtusifolius";650;NA
"2644";"Dipterocarpus palembanicus";573,333333333333;NA
"2645";"Dipterocarpus penangianus";745;NA
"2646";"Dipterocarpus pseudo-fagineus";750;NA
"2647";"Dipterocarpus retusus";605;NA
"2648";"Dipterocarpus rigidus";710;NA
"2649";"Dipterocarpus rotundifolius";860;NA
"2650";"Dipterocarpus semivestitus";690;NA
"2651";"Dipterocarpus sublamellatus";650;NA
"2652";"Dipterocarpus tempehes";545;NA
"2653";"Dipterocarpus tonkinensis";522,75;NA
"2654";"Dipterocarpus tuberculatus";720;NA
"2655";"Dipterocarpus turbinatus";619;NA
"2656";"Dipterocarpus validus";540;NA
"2657";"Dipterocarpus verrucosus";673,333333333333;NA
"2658";"Dipterocarpus zeylanicus";690;NA
"2659";"Dipteryx alata";977,5;NA
"2660";"Dipteryx ferrea";840;NA
"2661";"Dipteryx micrantha";871;NA
"2662";"Dipteryx odorata";922,75;NA
"2663";"Dipteryx oleifera";848,333333333333;NA
"2664";"Dipteryx polyphylla";885,666666666667;NA
"2665";"Dipteryx punctata";920;NA
"2666";"Dirca occidentalis";330;NA
"2667";"Discoglypremna caloneura";339,6;NA
"2668";"Discophora guianensis";560;NA
"2669";"Dissiliaria baloghioides";847,666666666667;NA
"2670";"Distemonanthus benthamianus";604,571428571429;NA
"2671";"Distylium racemosum";712,5;NA
"2672";"Distylium stellare";670;NA
"2673";"Dodonaea viscosa";947;NA
"2674";"Dolichandrone serrulata";441;NA
"2675";"Dolichandrone spathacea";430;NA
"2676";"Dombeya burgessiae";482;NA
"2677";"Dombeya goetzenii";500;NA
"2678";"Dombeya lucida";470;NA
"2679";"Doryphora aromatica";482;NA
"2680";"Doryphora sassafras";515;NA
"2681";"Dovyalis caffra";676;NA
"2682";"Dovyalis macrocalyx";482;NA
"2683";"Dracaena angustifolia";350;NA
"2684";"Dracaena elliptica";490;NA
"2685";"Dracaena linearifolia";420;NA
"2686";"Dracaena reflexa";413;NA
"2687";"Dracontomelon costatum";470;NA
"2688";"Dracontomelon dao";400;NA
"2689";"Dracontomelon mangiferum";530;NA
"2690";"Dracontomelon puberulum";465;NA
"2691";"Dracophyllum longifolium";524;NA
"2692";"Drimycarpus racemosus";840;NA
"2693";"Drimys granatensis";400;NA
"2694";"Drimys winteri";415;NA
"2695";"Dryadodaphne novoguineensis";509,5;NA
"2696";"Dryandra arborea";808;NA
"2697";"Dryobalanops aromatica";680;NA
"2698";"Dryobalanops beccarii";503,333333333333;NA
"2699";"Dryobalanops fusca";680;NA
"2700";"Dryobalanops keithii";630;NA
"2701";"Dryobalanops lanceolata";620;NA
"2702";"Dryobalanops oblongifolia";610;NA
"2703";"Dryobalanops rappa";655;NA
"2704";"Dryobalanops sumatrensis";650;NA
"2705";"Drypetes amazonica";670;NA
"2706";"Drypetes americana";730;NA
"2707";"Drypetes aubrevillei";826;NA
"2708";"Drypetes bordenii";793;NA
"2709";"Drypetes crassipes";550;NA
"2710";"Drypetes deplanchei";782;NA
"2711";"Drypetes gerrardii";703;NA
"2712";"Drypetes globosa";730;NA
"2713";"Drypetes gossweileri";669;NA
"2714";"Drypetes hainanensis";718,333333333333;NA
"2715";"Drypetes indet";709,333333333333;NA
"2716";"Drypetes kikir";720;NA
"2717";"Drypetes longifolia";620;NA
"2718";"Drypetes minahassae";530;NA
"2719";"Drypetes neglecta";720;NA
"2720";"Drypetes ovalis";810;NA
"2721";"Drypetes pendula";750;NA
"2722";"Drypetes polyneura";670;NA
"2723";"Drypetes roxburghii";675;NA
"2724";"Drypetes sibuyanensis";630;NA
"2725";"Drypetes simalurensis";760;NA
"2726";"Drypetes standleyi";675;NA
"2727";"Drypetes subcubica";630;NA
"2728";"Drypetes subsymmetrica";630;NA
"2729";"Drypetes usambarica";620;NA
"2730";"Drypetes variabilis";736,666666666667;NA
"2731";"Duabanga grandiflora";379;NA
"2732";"Duabanga moluccana";332,333333333333;NA
"2733";"Duboisia hopwoodii";925;NA
"2734";"Duboisia myoporoides";386,5;NA
"2735";"Duckeodendron cestroides";634,333333333333;NA
"2736";"Duckesia verrucosa";818;NA
"2737";"Duguetia calycina";370;NA
"2738";"Duguetia chrysea";845;NA
"2739";"Duguetia confinis";621;NA
"2740";"Duguetia lanceolata";870;NA
"2741";"Duguetia megalocarpa";910;NA
"2742";"Duguetia quitarensis";800;NA
"2743";"Duguetia spixiana";580;NA
"2744";"Duguetia staudtii";643,5;"bouamir_p16_101"
"2745";"Duguetia stelechantha";849;NA
"2746";"Duguetia surinamensis";800;NA
"2747";"Dulacia guianensis";569;NA
"2748";"Duranta serratifolia";561;NA
"2749";"Durio carinatus";460;NA
"2750";"Durio ceylanicus";538;NA
"2751";"Durio dulcis";510;NA
"2752";"Durio excelsus";530;NA
"2753";"Durio graveolens";560;NA
"2754";"Durio griffithii";613,333333333333;NA
"2755";"Durio kutejensis";515;NA
"2756";"Durio lanceolatus";490;NA
"2757";"Durio lowianus";570;NA
"2758";"Durio macrophyllus";560;NA
"2759";"Durio malaccensis";585;NA
"2760";"Durio oblongus";570;NA
"2761";"Durio oxleyanus";525;NA
"2762";"Durio singaporensis";600;NA
"2763";"Durio testudinarius";553,333333333333;NA
"2764";"Durio wrayii";580;NA
"2765";"Durio wyatt-smithii";510;NA
"2766";"Durio zibethinus";516;NA
"2767";"Duroia aquatica";785;NA
"2768";"Duroia eriopila";796;NA
"2769";"Duroia fusifera";672;NA
"2770";"Duroia hirsuta";770;NA
"2771";"Duroia micrantha";800;NA
"2772";"Dussia discolor";550,333333333333;NA
"2773";"Dussia lehmannii";590;NA
"2774";"Dussia macroprophyllata";563;NA
"2775";"Dussia mexicana";510;NA
"2776";"Dyera costulata";337,5;NA
"2777";"Dyera polyphylla";330;NA
"2778";"Dysoxylum acutangulum";740;NA
"2779";"Dysoxylum alliaceum";565;NA
"2780";"Dysoxylum altissimum";459;NA
"2781";"Dysoxylum arborescens";470;NA
"2782";"Dysoxylum binectariferum";606;NA
"2783";"Dysoxylum cauliflorum";715;NA
"2784";"Dysoxylum cerebriforme";538;NA
"2785";"Dysoxylum decandrum";663;NA
"2786";"Dysoxylum densiflorum";570;NA
"2787";"Dysoxylum euphlebium";642;NA
"2788";"Dysoxylum excelsum";470;NA
"2789";"Dysoxylum flavescens";690;NA
"2790";"Dysoxylum fraseranum";601;NA
"2791";"Dysoxylum fraserianum";607;NA
"2792";"Dysoxylum gaudichaudianum";556,5;NA
"2793";"Dysoxylum grande";647;NA
"2794";"Dysoxylum klanderi";751,5;NA
"2795";"Dysoxylum loureiroi";654;NA
"2796";"Dysoxylum macrocarpum";730;NA
"2797";"Dysoxylum macrothyrsum";640;NA
"2798";"Dysoxylum malabaricum";580;NA
"2799";"Dysoxylum mollissimum";518,857142857143;NA
"2800";"Dysoxylum muelleri";629;NA
"2801";"Dysoxylum nutans";710;NA
"2802";"Dysoxylum oppositifolium";758;NA
"2803";"Dysoxylum parasiticum";600;NA
"2804";"Dysoxylum pettigrewianum";697,333333333333;NA
"2805";"Dysoxylum pilosum";450;NA
"2806";"Dysoxylum quercifolium";490;NA
"2807";"Dysoxylum randianum";520;NA
"2808";"Dysoxylum richardianum";540;NA
"2809";"Dysoxylum richii";490;NA
"2810";"Dysoxylum rufum";551;NA
"2811";"Dysoxylum samoense";525;NA
"2812";"Dysoxylum schiffneri";633;NA
"2813";"Dysoxylum thyrsoideum";600;NA
"2814";"Dysoxylum tonkinense";491;NA
"2815";"Dysoxylum translucidum";499;NA
"2816";"Dysoxylum turbinatum";630;NA
"2817";"Dysoxylum undulatum";670;NA
"2818";"Ecclinusa guianensis";627,428571428571;NA
"2819";"Ecclinusa lanceolata";580;NA
"2820";"Ecclinusa psilophylla";758;NA
"2821";"Ecclinusa ramiflora";961;NA
"2822";"Ehretia acuminata";497;NA
"2823";"Ehretia cymosa";465,666666666667;NA
"2824";"Ehretia indet";534;NA
"2825";"Ehretia javanica";420;NA
"2826";"Ehretia laevis";560;NA
"2827";"Ehretia serrata";640;NA
"2828";"Ehretia thyrsiflora";519,5;NA
"2829";"Ekebergia benguelensis";508;NA
"2830";"Ekebergia capensis";468,666666666667;NA
"2831";"Ekebergia ruppeliana";370;NA
"2832";"Elaeagnus angustifolia";481,666666666667;NA
"2833";"Elaeocarpus alpestris";400;NA
"2834";"Elaeocarpus angustifolius";402,875;NA
"2835";"Elaeocarpus apiculatus";560;NA
"2836";"Elaeocarpus arnhemicus";650;NA
"2837";"Elaeocarpus bancroftii";771;NA
"2838";"Elaeocarpus chinensis";442;NA
"2839";"Elaeocarpus coorangooloo";525;NA
"2840";"Elaeocarpus dentatus";524;NA
"2841";"Elaeocarpus dubius";524;NA
"2842";"Elaeocarpus eumundi";702;NA
"2843";"Elaeocarpus ferrugineus";517;NA
"2844";"Elaeocarpus floribundus";580;NA
"2845";"Elaeocarpus foveolatus";344,333333333333;NA
"2846";"Elaeocarpus glaber";450;NA
"2847";"Elaeocarpus hookerianus";519;NA
"2848";"Elaeocarpus jackianus";480;NA
"2849";"Elaeocarpus johnsonii";581;NA
"2850";"Elaeocarpus kirtonii";581;NA
"2851";"Elaeocarpus lanceaefolius";523;NA
"2852";"Elaeocarpus largiflorens";394;NA
"2853";"Elaeocarpus leptomischus";520;NA
"2854";"Elaeocarpus longifolius";480;NA
"2855";"Elaeocarpus macrocerus";390;NA
"2856";"Elaeocarpus macrophyllus";390;NA
"2857";"Elaeocarpus mastersii";550;NA
"2858";"Elaeocarpus novo-guineensis";327;NA
"2859";"Elaeocarpus obovatus";607;NA
"2860";"Elaeocarpus obtusus";445;NA
"2861";"Elaeocarpus palembanicus";530;NA
"2862";"Elaeocarpus parvifolius";500;NA
"2863";"Elaeocarpus petiolatus";455;NA
"2864";"Elaeocarpus pierrei";480;NA
"2865";"Elaeocarpus punctatus";550;NA
"2866";"Elaeocarpus quadrilobus";542;NA
"2867";"Elaeocarpus reticulatus";633;NA
"2868";"Elaeocarpus robustus";516,5;NA
"2869";"Elaeocarpus ruminatus";482;NA
"2870";"Elaeocarpus sericopetalus";650;NA
"2871";"Elaeocarpus sphaericus";327;NA
"2872";"Elaeocarpus stipularis";445;NA
"2873";"Elaeocarpus subglobosus";504;NA
"2874";"Elaeocarpus submonoceras";370;NA
"2875";"Elaeocarpus sylvestris";475;NA
"2876";"Elaeocarpus teysmannii";590;NA
"2877";"Elaeocarpus tuberculatus";400;NA
"2878";"Elaeocarpus wrayi";520;NA
"2879";"Elaeodendron australe";732;NA
"2880";"Elaeodendron glaucum";750;NA
"2881";"Elaeodendron indet";737;NA
"2882";"Elateriospermum tapos";785;NA
"2883";"Elattostachys verrucosa";670;NA
"2884";"Elattostachys xylocarpa";663;NA
"2885";"Elattostachys zippeliana";570;NA
"2886";"Eleutherandra pes-cervi";850;NA
"2887";"Eleutherococcus malayanus";440;NA
"2888";"Elizabetha paraensis";820;NA
"2889";"Elmerrillia ovalis";340;NA
"2890";"Elmerrillia papuana";413;NA
"2891";"Elmerrillia tsiampacca";430;NA
"2892";"Elvasia calophyllea";800;NA
"2893";"Elvasia elvasioides";730;NA
"2894";"Embothrium coccineum";490;NA
"2895";"Embothrium mucronatum";560;NA
"2896";"Emmenosperma alphitonioides";728,5;NA
"2897";"Emmotum fagifolium";726,5;NA
"2898";"Emmotum nitens";930;NA
"2899";"Endertia spectabilis";550;NA
"2900";"Endiandra acuminata";633;NA
"2901";"Endiandra bullata";460;NA
"2902";"Endiandra compressa";850;NA
"2903";"Endiandra cowleyana";652;NA
"2904";"Endiandra crassiflora";670,5;NA
"2905";"Endiandra dichrophylla";696;NA
"2906";"Endiandra dielsiana";650;NA
"2907";"Endiandra discolor";610,5;NA
"2908";"Endiandra firma";540;NA
"2909";"Endiandra glauca";538;NA
"2910";"Endiandra globosa";788;NA
"2911";"Endiandra hainanensis";615;NA
"2912";"Endiandra hypotephra";633;NA
"2913";"Endiandra indet";663;NA
"2914";"Endiandra kingiana";700;NA
"2915";"Endiandra laxiflora";588;NA
"2916";"Endiandra leptodendron";749;NA
"2917";"Endiandra longipedicellata";839;NA
"2918";"Endiandra maingayi";740;NA
"2919";"Endiandra montana";626,5;NA
"2920";"Endiandra muelleri";663;NA
"2921";"Endiandra palmerstoni";600;NA
"2922";"Endiandra palmerstonii";597,5;NA
"2923";"Endiandra pubens";650;NA
"2924";"Endiandra rubescens";600;NA
"2925";"Endiandra sankeyana";680;NA
"2926";"Endiandra sideroxylon";689;NA
"2927";"Endiandra sieberi";620;NA
"2928";"Endiandra wolfei";861;NA
"2929";"Endlicheria bracteolata";573;NA
"2930";"Endlicheria cocuirey";453,5;NA
"2931";"Endlicheria endlicheriopsis";470;NA
"2932";"Endlicheria formosa";421;NA
"2933";"Endlicheria indet";500;NA
"2934";"Endlicheria multiflora";470;NA
"2935";"Endlicheria paniculata";631;NA
"2936";"Endlicheria sericea";470;NA
"2937";"Endlicheria williamsii";470;NA
"2938";"Endodesmia calophylloides";679;NA
"2939";"Endopleura uchi";794,428571428571;NA
"2940";"Endospermum banghamii";290;NA
"2941";"Endospermum chinense";347,5;NA
"2942";"Endospermum diadenum";366,666666666667;NA
"2943";"Endospermum macrophyllum";400;NA
"2944";"Endospermum malaccense";460;NA
"2945";"Endospermum medullosum";323,5;NA
"2946";"Endospermum moluccanum";280;NA
"2947";"Endospermum myrmecophilum";375;NA
"2948";"Endospermum peltatum";300;NA
"2949";"Engelhardtia nudiflora";426;NA
"2950";"Engelhardtia rigida";422;NA
"2951";"Engelhardtia roxburghiana";447;NA
"2952";"Engelhardtia serrata";370;NA
"2953";"Engelhardtia spicata";438,666666666667;NA
"2954";"Engelhardtia wallichiana";550;NA
"2955";"Enicosanthum congregatum";430;NA
"2956";"Enicosanthum fuscum";525;NA
"2957";"Entandrophragma angolense";483,375;NA
"2958";"Entandrophragma candollei";574;NA
"2959";"Entandrophragma congoense";474;NA
"2960";"Entandrophragma cylindricum";571,5;NA
"2961";"Entandrophragma delevoyi";572;NA
"2962";"Entandrophragma excelsum";490;NA
"2963";"Entandrophragma rederi";456;NA
"2964";"Entandrophragma utile";536,944444444444;NA
"2965";"Enterolobium contortisiliquum";397,333333333333;NA
"2966";"Enterolobium cyclocarpum";390;NA
"2967";"Enterolobium gummiferum";610;NA
"2968";"Enterolobium maximum";406,666666666667;NA
"2969";"Enterolobium schomburgkii";698,916666666667;NA
"2970";"Enterolobium timbouva";531;NA
"2971";"Eperua bijuga";729;NA
"2972";"Eperua duckeana";791;NA
"2973";"Eperua falcata";718,571428571429;NA
"2974";"Eperua glabriflora";759;NA
"2975";"Eperua grandiflora";704;NA
"2976";"Eperua indet";770;NA
"2977";"Eperua jenmani";800;NA
"2978";"Eperua jenmanii";775;NA
"2979";"Eperua rubiginosa";745;NA
"2980";"Ephedranthus amazonicus";816;NA
"2981";"Eremophila fraseri";808,5;NA
"2982";"Eremophila interstans";810;NA
"2983";"Eremophila longifolia";703;NA
"2984";"Eremophila miniata";598;NA
"2985";"Eremophila mitchellii";879;NA
"2986";"Eremophila oldfieldii";745;NA
"2987";"Eribroma oblongum";638,454545454545;"bouamir_p3_107"
"2988";"Eriobotrya bengalensis";730;NA
"2989";"Eriobotrya deflexa";775,5;NA
"2990";"Eriobotrya japonica";880;NA
"2991";"Eriocoelum microspermum";523;NA
"2992";"Eriodictyon californicum";540;NA
"2993";"Eriolaena candollei";703;NA
"2994";"Eriotheca candolleana";430;NA
"2995";"Eriotheca crassa";510;NA
"2996";"Eriotheca globosa";410;NA
"2997";"Eriotheca longipedicellata";483,333333333333;NA
"2998";"Eriotheca pentaphylla";430;NA
"2999";"Eriotheca ruizii";390;NA
"3000";"Eriotheca surinamensis";410;NA
"3001";"Erisma calcaratum";680;NA
"3002";"Erisma fuscum";560;NA
"3003";"Erisma nitidum";520;NA
"3004";"Erisma uncinatum";523,083333333333;NA
"3005";"Erismadelphus exsul";607,1;NA
"3006";"Erythrina abyssinica";426;NA
"3007";"Erythrina berteroana";300;NA
"3008";"Erythrina crista-galli";267,666666666667;NA
"3009";"Erythrina dominguezii";258;NA
"3010";"Erythrina edulis";220;NA
"3011";"Erythrina falcata";320;NA
"3012";"Erythrina folkersii";380;NA
"3013";"Erythrina fusca";298,5;NA
"3014";"Erythrina indet";715;NA
"3015";"Erythrina indica";320;NA
"3016";"Erythrina lanata";320;NA
"3017";"Erythrina latissima";318;NA
"3018";"Erythrina lysistemon";331;NA
"3019";"Erythrina merrilliana";207;NA
"3020";"Erythrina poeppigiana";305;NA
"3021";"Erythrina smithiana";190;NA
"3022";"Erythrina stricta";220;NA
"3023";"Erythrina suberosa";224;NA
"3024";"Erythrina subumbrans";230;NA
"3025";"Erythrina ulei";111;NA
"3026";"Erythrina variegata";280;NA
"3027";"Erythrina vespertilio";164;NA
"3028";"Erythrina vogelii";243;NA
"3029";"Erythrochiton fallax";450;NA
"3030";"Erythrophleum africanum";852,5;"upemba_p2_20"
"3031";"Erythrophleum chlorostachys";1037,2;NA
"3032";"Erythrophleum densiflorum";660;NA
"3033";"Erythrophleum fordii";760;NA
"3034";"Erythrophleum indet";720;NA
"3035";"Erythrophleum ivorense";774;NA
"3036";"Erythrophleum lasianthum";842;NA
"3037";"Erythrophleum suaveolens";824,285714285714;"bouamir_p3_272"
"3038";"Erythrospermum candidum";420;NA
"3039";"Erythroxylum amazonicum";710;NA
"3040";"Erythroxylum citrifolium";710;NA
"3041";"Erythroxylum cuneatum";695;NA
"3042";"Erythroxylum deciduum";810;NA
"3043";"Erythroxylum ecarinatum";782;NA
"3044";"Erythroxylum ellipticum";857;NA
"3045";"Erythroxylum emarginatum";784;NA
"3046";"Erythroxylum frangulifolium";968;NA
"3047";"Erythroxylum glaucum";710;NA
"3048";"Erythroxylum havanense";990;NA
"3049";"Erythroxylum kapplerianum";710;NA
"3050";"Erythroxylum macrophyllum";710;NA
"3051";"Erythroxylum mannii";546,777777777778;NA
"3052";"Erythroxylum pulchrum";1071;NA
"3053";"Erythroxylum squamatum";710;NA
"3054";"Erythroxylum zambesiacum";870;NA
"3055";"Escallonia millegrana";542;NA
"3056";"Escallonia myrtilloides";670;NA
"3057";"Escallonia poasana";490;NA
"3058";"Eschweilera alata";964;NA
"3059";"Eschweilera albiflora";860;NA
"3060";"Eschweilera amazonica";900;NA
